"text","group","id","time","partner_id","turn","seller","study","study_group","span"
"I don't think you quite understand the intrinsic value of this bowl. The going rate at eBay is ~470 and I'm pretty sure you can't even find it on Amazon. This is your best chance to own such a beauty. And from the kind of offers I have received recently, I won't go below 430. I am wiling to cut you a nice deal for $400 because you have shown persistent interest. ||What do you say? 400 it is? ",59,"ASHYS"," 5:59:42 PM ","KJAWU",5,1,"one","one_59",416
"It is too high; if you like, I agree to buy it at $300. It is a last time. ||I will go to the airport now; if you don't agree this price, I have to leave. ",59,"KJAWU"," 6:02:41 PM ","ASHYS",6,0,"one","one_59",595
"380? ",59,"ASHYS"," 6:04:21 PM ","KJAWU",7,1,"one","one_59",695
"I am looking to buy the sugar bowl for $250 or I won't buy it at all.",61,"8SUMT","0","YGFXA",1,0,"one","one_61",0
"I paid $400 for the bowl but I am willing to take a loss on it, but I can't go below $350.",61,"YGFXA","0","8SUMT",2,1,"one","one_61",10
"Do we have any room to come to an agreement?? ",61,"YGFXA"," 6:17:14 PM ","8SUMT",3,1,"one","one_61",20
"Okay, fine. How about $300? ",61,"8SUMT"," 6:17:29 PM ","YGFXA",4,0,"one","one_61",35
"Is there anyway you could go to $325?? ",61,"YGFXA"," 6:18:06 PM ","8SUMT",5,1,"one","one_61",72
"No. Highest I can go is $310. ||Sorry. ",61,"8SUMT"," 6:18:28 PM ","YGFXA",6,0,"one","one_61",94
"How about $320? Anyway you could do that?? ",61,"YGFXA"," 6:19:09 PM ","8SUMT",7,1,"one","one_61",135
"$310 ",61,"8SUMT"," 6:19:32 PM ","YGFXA",8,0,"one","one_61",158
"How about $315?? ",61,"YGFXA"," 6:19:59 PM ","8SUMT",9,1,"one","one_61",185
"$310 ",61,"8SUMT"," 6:20:05 PM ","YGFXA",10,0,"one","one_61",191
"Okay then. $310 it is. Do we have a sale?? ",61,"YGFXA"," 6:20:34 PM ","8SUMT",11,1,"one","one_61",220
"Yes! ",61,"8SUMT"," 6:20:38 PM ","YGFXA",12,0,"one","one_61",224
"Thank you very much. You have an antique sugar bowl. Enjoy your purchase. ",61,"YGFXA"," 6:21:15 PM ","8SUMT",13,1,"one","one_61",261
"Thank you. ",61,"8SUMT"," 6:21:27 PM ","YGFXA",14,0,"one","one_61",273
"I'm interested in your sugar bowl.  I could offer you as much as, say, $250 for it.  It's not worth more than that. ",62,"RZ7ZX","0","XSNV6",1,0,"one","one_62",0
"I am glad you are interested; it is a great piece from the 1750's. However, 250 is not a reasonable offer; I have it listed at 425.",62,"XSNV6","0","RZ7ZX",2,1,"one","one_62",10
"425 is a pretty good price; they generally go for a bit more.",62,"XSNV6"," 6:18:41 PM ","RZ7ZX",3,1,"one","one_62",20
"Sorry; I didn't include ""to me"" in the last message--not enough time.  But I suppose I could stretch a point and go up to $315. ",62,"RZ7ZX"," 6:19:28 PM ","XSNV6",4,0,"one","one_62",67
"Again, I appreciate your interest.  That is still too low, but I might be willing to come down to 375 if you can decide on it now.",62,"XSNV6"," 6:20:56 PM ","RZ7ZX",5,1,"one","one_62",155
"I'll pay cash and take it now for $355. ",62,"RZ7ZX"," 6:21:30 PM ","XSNV6",6,0,"one","one_62",189
"Make it 360 and you have a deal.",62,"XSNV6"," 6:22:04 PM ","RZ7ZX",7,1,"one","one_62",223
"Deal. ",62,"RZ7ZX"," 6:22:12 PM ","XSNV6",8,0,"one","one_62",231
"Deal. ",62,"XSNV6"," 6:22:37 PM ","RZ7ZX",9,1,"one","one_62",256
"Hello! Hope you're doing well. I really admire that sugar bowl you have there - I'm willing to pay $250 for it!",63,"SATTP","0","6NV63",1,0,"one","one_63",0
"Hi there! Thanks for your inquiry regarding the sugar bowl. It really is one of a kind, said to have been made by Langlands, a 18th century sculptor from New England. Pricing on the bowl itself in other places have ranged from $400-$800 for it.  I'd be willing to let it go for $350.  Let me know.  Thanks. ",63,"6NV63","0","SATTP",2,1,"one","one_63",10
"$350 sounds good to me! ",63,"SATTP"," 6:21:24 PM ","6NV63",3,0,"one","one_63",20
"Great! We have a deal! Nice doing business with you! ",63,"6NV63"," 6:22:01 PM ","SATTP",4,1,"one","one_63",57
"Same here! ",63,"SATTP"," 6:22:12 PM ","6NV63",5,0,"one","one_63",68
"Have a nice day! ",63,"6NV63"," 6:22:32 PM ","SATTP",6,1,"one","one_63",88
"I'll take the sugar bowl for $250 and that's all. ",64,"NQ75N","0","EW6SU",1,0,"one","one_64",0
"The sugar bowl has been valued by some at almost $800. I'll sell you the sugar bowl for $500, which will be an amazing deal for you!",64,"EW6SU","0","NQ75N",2,1,"one","one_64",10
"Would you like the buy the sugar bowl for $500? ",64,"EW6SU"," 6:44:10 PM ","NQ75N",3,1,"one","one_64",20
"No one would pay $500 for the sugar bowl, let alone $800. $350 is my offer. ",64,"NQ75N"," 6:44:50 PM ","EW6SU",4,0,"one","one_64",60
"Alright, I'll sell it to you for $400. That would be an amazing deal for you, and you could re-sell it for more than that. ",64,"EW6SU"," 6:46:10 PM ","NQ75N",5,1,"one","one_64",140
"Very well. $400 it is. Great doing business with you. ",64,"NQ75N"," 6:46:44 PM ","EW6SU",6,0,"one","one_64",174
"Sounds good, $400 it is. Thanks a lot! ",64,"EW6SU"," 6:47:02 PM ","NQ75N",7,1,"one","one_64",192
"Hi!  I noticed that you have a silver sugar bowl for sale, and I have a lot of sugar cubes!  Would you be interested in letting it go for $250?",65,"MXMTS","0","26XJC",1,0,"one","one_65",0
"Sorry that price isn't acceptable to me. I'm looking for $450.00.",65,"26XJC","0","MXMTS",2,1,"one","one_65",10
"Thanks for getting back to me.  I'm really hoping to add this piece to a set that was given to me by a dear relative.  What's the best price you think you might be able to do?  Would $300 be a best price that you could possibly offer?  Thanks for considering! ",65,"MXMTS"," 6:44:49 PM ","26XJC",3,0,"one","one_65",20
"How about $350.00? I'm sure it will add to your set. ",65,"26XJC"," 6:46:01 PM ","MXMTS",4,1,"one","one_65",92
"Thanks so much!  I'm really stretched in the bank account department.  Would you be able to dip to $340?  If that works for you, I'd love to buy it. ",65,"MXMTS"," 6:47:00 PM ","26XJC",5,0,"one","one_65",151
"That's fine. Sold. ",65,"26XJC"," 6:47:32 PM ","MXMTS",6,1,"one","one_65",183
"Thanks!   Let's wrap this up!  I appreciate your doing business with me! ",65,"MXMTS"," 6:47:53 PM ","26XJC",7,0,"one","one_65",204
"Great! I hope you enjoy the bowl. ",65,"26XJC"," 6:48:21 PM ","MXMTS",8,1,"one","one_65",232
"I'd like the buy the sugar for $250",66,"772B9","0","2FS9Z",1,0,"one","one_66",0
"I bought it for a price of $350 and would be selling for at least $360 to make a profit of $10.",66,"2FS9Z","0","772B9",2,1,"one","one_66",10
"Hi there. ||For how much would you like to buy the item for? ",66,"2FS9Z"," 6:47:10 PM ","772B9",3,1,"one","one_66",20
"The maximum price from me will be $380.",66,"772B9"," 6:48:16 PM ","2FS9Z",4,0,"one","one_66",86
"Cool! Let's finalize it. ",66,"2FS9Z"," 6:48:54 PM ","772B9",5,1,"one","one_66",124
"I would like to offer you the bowl for $250",67,"TN4QR","0","U9TR6",1,0,"one","one_67",0
"This is a very nice piece. It would be a great gift; or are you a collector? It has only one small blemish, easily buffed out. This is a relatively rare item as the maker has not made many bowls of this type, so your offer is too low.",67,"U9TR6","0","TN4QR",2,1,"one","one_67",10
"I hope you will reconsider your offer, as pieces of this kind do not come up for sale very often. I will be reasonable.",67,"U9TR6"," 6:53:35 PM ","TN4QR",3,1,"one","one_67",20
"How much would you be willing to let it go for? ",67,"TN4QR"," 6:55:03 PM ","U9TR6",4,0,"one","one_67",108
"This is an item which I have seen on ""Antiques Roadshow,"" where the person with the bowl was pleasantly surprised to find out what it would bring at auction. ||I would be willing to let it go for 350 dollars due to the rarity of the bowl and the prices of similar items I have seen online and in other shops, but no less. Remember in this state there's no sales tax. ",67,"U9TR6"," 6:55:59 PM ","TN4QR",5,1,"one","one_67",164
"Sounds like a fair price. SOLD! ",67,"TN4QR"," 7:00:42 PM ","U9TR6",6,0,"one","one_67",447
"If you want me to ship it to you, I will forgo the shipping charges. ",67,"U9TR6"," 7:00:55 PM ","TN4QR",7,1,"one","one_67",460
"Hello, I am interested in purchasing the sugar bowl for a price of $250.",68,"N9FWP","0","TWU3E",1,0,"one","one_68",0
"Hello, At this time I have received a handful of other offers that are more commensurate with the bowl's provenance and value as an antique.",68,"TWU3E","0","N9FWP",2,1,"one","one_68",10
"I am willing to increase my offer to $275. ||Will you accept that offer? ",68,"N9FWP"," 7:13:40 PM ","TWU3E",3,0,"one","one_68",20
"I saw an online offer for almost twice that amount.  However, I would prefer to sell here and move this piece. I can do $450.",68,"TWU3E"," 7:15:23 PM ","N9FWP",4,1,"one","one_68",123
"This piece would complete my childhood set and is of great sentimental value to me. I unfortunately cannot compete with that kind of cash. Is there any chance of you accepting $300? ",68,"N9FWP"," 7:16:29 PM ","TWU3E",5,0,"one","one_68",189
"I understand your situation and want to help you out, but I need to at least break-even in this deal. I paid $400 for the bowl, so if you can match that, it's yours. ",68,"TWU3E"," 7:18:10 PM ","N9FWP",6,1,"one","one_68",290
"Please, you are breaking an old lady's heart. Can we meet in the middle at $350. I am stretched so thin, but this piece means a great deal to me.",68,"N9FWP"," 7:18:59 PM ","TWU3E",7,0,"one","one_68",339
"I'm sorry, I wish I could go lower but $400 is the best I can do. ",68,"TWU3E"," 7:20:14 PM ","N9FWP",8,1,"one","one_68",414
"OK. I understand. ||Unfortunately, $300 was my max and $350 is stretching me already way too thin. ",68,"N9FWP"," 7:20:32 PM ","TWU3E",9,0,"one","one_68",432
"OK, have a good day.",68,"TWU3E"," 7:21:17 PM ","N9FWP",10,1,"one","one_68",477
"Thank you, same to you. ",68,"N9FWP"," 7:21:31 PM ","TWU3E",11,0,"one","one_68",491
"Hey there! I was browsing some antiques recently, and your sugar bowl undoubtedly caught my eye. It would be lovely if you could sell it for $250.",69,"WUU4J","0","H5FHG",1,0,"one","one_69",0
"Thanks for your interest! We are excited about the lovely piece. It is a Langlands original that was constructed in a historic fashion. These are of great interest in the market, so we are asking $380.",69,"H5FHG","0","WUU4J",2,1,"one","one_69",10
"Hello, thanks for your interest! ||Hello! ||Would you be available to talk further about the bowl? ",69,"H5FHG"," 7:13:39 PM ","WUU4J",3,1,"one","one_69",20
"Yes, absolutely. ||Hmm, I did find a similar item for much less than $380, around $300. ",69,"WUU4J"," 7:14:55 PM ","H5FHG",4,0,"one","one_69",96
"Would you be interested for $360? ",69,"H5FHG"," 7:15:30 PM ","WUU4J",5,1,"one","one_69",131
"Could you lower it to perhaps $330? ||The sugar bowl is an item I'm missing in my collection. ",69,"WUU4J"," 7:16:07 PM ","H5FHG",6,0,"one","one_69",168
"Perhaps we could discuss $320. ",69,"H5FHG"," 7:16:37 PM ","WUU4J",7,1,"one","one_69",198
"That's wonderful. ||I'd be willing to buy that. ",69,"WUU4J"," 7:16:45 PM ","H5FHG",8,0,"one","one_69",206
"Would that be an option? ",69,"H5FHG"," 7:16:57 PM ","WUU4J",9,1,"one","one_69",218
"Yes, let's settle it at $320. ||I'm going to close the chat window now, if we're settled. ",69,"WUU4J"," 7:17:06 PM ","H5FHG",10,0,"one","one_69",227
"Hello! ",69,"H5FHG"," 7:18:21 PM ","WUU4J",11,1,"one","one_69",302
"Yes? ",69,"WUU4J"," 7:18:30 PM ","H5FHG",12,0,"one","one_69",311
"Hello. ||Hello. ",69,"H5FHG"," 7:19:05 PM ","WUU4J",13,1,"one","one_69",346
"$320 is good right? ",69,"WUU4J"," 7:19:30 PM ","H5FHG",14,0,"one","one_69",371
"Hello.  ",69,"H5FHG"," 7:19:41 PM ","WUU4J",15,1,"one","one_69",382
"Could you press the 'finish negotiating' button? ",69,"WUU4J"," 7:19:43 PM ","H5FHG",16,0,"one","one_69",384
"Hello,  I would like to purchase the sugar bowl you have available.  Would you accept $250 for it?",70,"NZSAU","0","VWHZY",1,0,"one","one_70",0
"Similar bowls with a Langland provenance from the 1750's have been priced at $650, so your offer is too low for me to accept, unfortunately.  Would you be willing to pay $550 for the bowl?",70,"VWHZY","0","NZSAU",2,1,"one","one_70",10
"Have you had a chance to consider my offer to sell the bowl to you for $550? ",70,"VWHZY"," 7:19:56 PM ","NZSAU",3,1,"one","one_70",20
"Understood.  I have also seen appraisals ranging in the $400 range.  This particular piece also holds some sentimental value to me as it would complete an inherited set.  Would you consider $450? ",70,"NZSAU"," 7:22:14 PM ","VWHZY",4,0,"one","one_70",158
"This is a much fairer price.  I agree to it.  Nice to do business with you. ",70,"VWHZY"," 7:23:50 PM ","NZSAU",5,1,"one","one_70",254
"Thank you. ",70,"NZSAU"," 7:24:18 PM ","VWHZY",6,0,"one","one_70",282
"Hello, I'm interested in buying your sugar bowl and will offer you $250 in exchange. Let's get in touch!",71,"Z3FV4","0","64Y2S",1,0,"one","one_71",0
"I'm willing to sell it for 550. The highest it goes for is 800 andf I think 550 is fair.",71,"64Y2S","0","Z3FV4",2,1,"one","one_71",10
"I want 550; it's worth 800. ",71,"64Y2S"," 7:15:23 PM ","Z3FV4",3,1,"one","one_71",20
"How about $400? ",71,"Z3FV4"," 7:16:11 PM ","64Y2S",4,0,"one","one_71",68
"How about 450? ",71,"64Y2S"," 7:16:26 PM ","Z3FV4",5,1,"one","one_71",83
"Sold! I'll take it for $450. ",71,"Z3FV4"," 7:17:00 PM ","64Y2S",6,0,"one","one_71",117
"Ok, great. Thank you. Good bye. ",71,"64Y2S"," 7:17:20 PM ","Z3FV4",7,1,"one","one_71",137
"Hello, Good afternoon. I am offering to buy the sugar bowl for $250.",73,"GWJVG","0","8AECH",1,0,"one","one_73",0
"Hello, Thank you for your interest. This bowl was made by Langlands of New England in the 1700s  and is at least worth 400.00 on the market today.",73,"8AECH","0","GWJVG",2,1,"one","one_73",10
"OK, understood. The bowl is indeed of high quality. I will take it for $400 as per market price ",73,"GWJVG"," 7:19:26 PM ","8AECH",3,0,"one","one_73",20
"Wonderful, I will wrap it up for you. I think you will enjoy the quality of this handcrafted piece. Have a nice day! ",73,"8AECH"," 7:20:31 PM ","GWJVG",4,1,"one","one_73",85
"Hi, The sugar bowl is so fabulous I can't even stand  it. I'm crying, and am about to faint. I can barely see. $250 is fair",74,"XFNG8","0","8XNCK",1,0,"one","one_74",0
"Hi, ""Fabulous,"" you are right! Brings out those emotions in many people that view it. This piece was crafted in the 1750s and therefore it is so valued. $250 is quite low for previous bids and price points. These crafts go for up to $800. I would do $500 for you.",74,"8XNCK","0","XFNG8",2,1,"one","one_74",10
"Have you been able to think through my last price point I offered? ",74,"8XNCK"," 7:21:06 PM ","XFNG8",3,1,"one","one_74",20
"Wait. I need a Kleenex. Please excuse me. I need to find a chair to compose myself, I'm so overwrought with emotion. ",74,"XFNG8"," 7:21:21 PM ","8XNCK",4,0,"one","one_74",35
"Here is a Kleenex. ||Do you have interest in leaving with this bowl today? ",74,"8XNCK"," 7:22:23 PM ","XFNG8",5,1,"one","one_74",97
"You're so thoughtful. Excuse me, I got carried away with myself; I shouldn't have done that to you. I am sorry for that. ",74,"XFNG8"," 7:23:18 PM ","8XNCK",6,0,"one","one_74",152
"No worries at all. Beatiful works of art like this can bring out those emotions in customers. ",74,"8XNCK"," 7:24:03 PM ","XFNG8",7,1,"one","one_74",197
"I'm, sorry to say that my initial joy may have got the best of me, as that sugar bowl reminded me of my Nanna, God rest her soul; we all miss her.",74,"XFNG8"," 7:24:23 PM ","8XNCK",8,0,"one","one_74",217
"Did she have one like it? ||I would love to sell this to you as a way to remember her. ",74,"8XNCK"," 7:24:55 PM ","XFNG8",9,1,"one","one_74",249
"Yes, she gave the tea set to my aunt, and we all love it. ||I'm afraid I DID let my emotions get ahead of me. ||That's my fault, but in any case, I think my Mom would love the bowl, as the tea set is with her sister. ||I can't pay what the big shots you've read pay, but because you've been so patient and kind, I'd be happy to give you $300 now, but that's the best I could do.",74,"XFNG8"," 7:25:32 PM ","8XNCK",10,0,"one","one_74",286
"That is a treasured keepsake I bet. I think your mom would love it as well. I do unfortunately have a customer coming by later today that has agreed to pay $600 if it is still on the shelf. Yet, due to your situation, I would be willing to drop to $400. Hard to find these pieces at that price. ",74,"8XNCK"," 7:28:28 PM ","XFNG8",11,1,"one","one_74",462
"Sob! ||Ok, I miss my Nanna SO much, and so does my Mom, we loved her so! $400 it is.",74,"XFNG8"," 7:28:51 PM ","8XNCK",12,0,"one","one_74",485
"Great. Thanks for coming in and I hope you get to treasure this! ",74,"8XNCK"," 7:29:38 PM ","XFNG8",13,1,"one","one_74",532
"Good Morning.  I am interested in the sugar bowl, and am willing to offer $250.  Is this acceptable?",75,"AAAY8","0","UG8W5",1,0,"one","one_75",0
"Hello the original price for this bowl is around $800 and $250 is too low. Would you be able to do $400?",75,"UG8W5","0","AAAY8",2,1,"one","one_75",10
"Are you able to do $400? ",75,"UG8W5"," 4:15:09 PM ","AAAY8",3,1,"one","one_75",20
"Good Morning--$400.00 higher than I expected.  Would you be willing to accept $350.00? ",75,"AAAY8"," 4:15:15 PM ","UG8W5",4,0,"one","one_75",26
"Hi, well this object has been around since the 1750s. It has history and $400 is a bargain. ",75,"UG8W5"," 4:16:48 PM ","AAAY8",5,1,"one","one_75",119
"I can offer $375.00, but anything higher I will unfortunately need to move on. ",75,"AAAY8"," 4:17:31 PM ","UG8W5",6,0,"one","one_75",162
"Alright, I accept your $375 offer. ",75,"UG8W5"," 4:18:09 PM ","AAAY8",7,1,"one","one_75",200
"Excellent.  Thank you. ",75,"AAAY8"," 4:18:17 PM ","UG8W5",8,0,"one","one_75",208
"Hello. I'll offer you $250 for the sugar bowl. It's a great offer, so take it or leave it.",76,"3U7PK","0","N5BQ9",1,0,"one","one_76",0
"I would have to insist on at least $340.",76,"N5BQ9","0","3U7PK",2,1,"one","one_76",10
"That's way too high. I'll offer you $275.",76,"3U7PK"," 4:16:21 PM ","N5BQ9",3,0,"one","one_76",20
"This is an 18th century piece at least $325.",76,"N5BQ9"," 4:17:14 PM ","3U7PK",4,1,"one","one_76",73
"How about we split our offers down the middle, and say $300? ||That seems only fair. It's exactly halfway between your offer and my offer.",76,"3U7PK"," 4:18:00 PM ","N5BQ9",5,0,"one","one_76",119
"I don't think so; how about $320?",76,"N5BQ9"," 4:19:12 PM ","3U7PK",6,1,"one","one_76",191
"I can't do that. $300.",76,"3U7PK"," 4:19:41 PM ","N5BQ9",7,0,"one","one_76",220
"The lowest I can go is $320; last chance. This bowl was made by a skilled craftsman.",76,"N5BQ9"," 4:20:52 PM ","3U7PK",8,1,"one","one_76",291
"Sure. $320. ",76,"3U7PK"," 4:21:03 PM ","N5BQ9",9,0,"one","one_76",302
"Terrific. Glad to do business with you. ",76,"N5BQ9"," 4:21:34 PM ","3U7PK",10,1,"one","one_76",333
"Not going higher than 250. ",77,"HC73Q","0","SCE9N",1,0,"one","one_77",0
"The market value of this bowl is $600-$800. I am being very generous in taking a minimum amount of $500. Not going below that.",77,"SCE9N","0","HC73Q",2,1,"one","one_77",10
"Hello.",77,"SCE9N"," 4:44:53 PM ","HC73Q",3,1,"one","one_77",20
"Hi. ||Market value is 200. ||Not sure where you got 600 from. ||250 and it's a deal.",77,"HC73Q"," 4:44:55 PM ","SCE9N",4,0,"one","one_77",22
"As you may have seen in my message,  the market value is 600...so, not sure where you got 200. ",77,"SCE9N"," 4:45:33 PM ","HC73Q",5,1,"one","one_77",60
"Got it from my appraiser. ||He's a professional. ||250? ",77,"HC73Q"," 4:45:57 PM ","SCE9N",6,0,"one","one_77",84
"No. ",77,"SCE9N"," 4:46:10 PM ","HC73Q",7,1,"one","one_77",97
"You still haven't proposed anything. ",77,"HC73Q"," 4:46:23 PM ","SCE9N",8,0,"one","one_77",110
"An original client was going to buy for $650 but backed out. I say 450 and it's a deal. ",77,"SCE9N"," 4:46:31 PM ","HC73Q",9,1,"one","one_77",118
"Lol. ||300. ",77,"HC73Q"," 4:46:38 PM ","SCE9N",10,0,"one","one_77",125
"That's a great deal. ||No. ||380.",77,"SCE9N"," 4:46:48 PM ","HC73Q",11,1,"one","one_77",135
"300",77,"HC73Q"," 4:46:57 PM ","SCE9N",12,0,"one","one_77",144
"No!!! ",77,"SCE9N"," 4:47:01 PM ","HC73Q",13,1,"one","one_77",148
"No wonder the other buyer backed out. ",77,"HC73Q"," 4:47:14 PM ","SCE9N",14,0,"one","one_77",161
"I proposed 450. I'm willing to go down to 400. ",77,"SCE9N"," 4:47:16 PM ","HC73Q",15,1,"one","one_77",163
"I proposed 250. ||I'm willing to go up to 300.",77,"HC73Q"," 4:47:26 PM ","SCE9N",16,0,"one","one_77",173
"Ok, BUT market value is 600-800. Then I dropped down to 450. Then I dropped down to 400. So I've compromised a LOSS of $200 and you're only willing to go up $50...so, no.",77,"SCE9N"," 4:48:27 PM ","HC73Q",17,1,"one","one_77",234
"Well, market value is 200. ||And I'm willing to go to 300. ",77,"HC73Q"," 4:48:38 PM ","SCE9N",18,0,"one","one_77",245
"No, it is not. ",77,"SCE9N"," 4:48:43 PM ","HC73Q",19,1,"one","one_77",250
"That's a 50% increase.",77,"HC73Q"," 4:48:50 PM ","SCE9N",20,0,"one","one_77",257
"Market value is 600 and I'm willing to drop down 200. ",77,"SCE9N"," 4:49:07 PM ","HC73Q",21,1,"one","one_77",274
"I'll take the deal at 200. ",77,"HC73Q"," 4:49:16 PM ","SCE9N",22,0,"one","one_77",283
"No. ||I'm not selling below 400. ",77,"SCE9N"," 4:49:19 PM ","HC73Q",23,1,"one","one_77",286
"325",77,"HC73Q"," 4:49:34 PM ","SCE9N",24,0,"one","one_77",301
"No. ||400. ||Think about how much I'm losing. ",77,"SCE9N"," 4:50:09 PM ","HC73Q",25,1,"one","one_77",336
"Final offer 350. Otherwise, no deal. ",77,"HC73Q"," 4:50:29 PM ","SCE9N",26,0,"one","one_77",356
"It was created by a 1750s New England artist named ""Langlands."" That's electric. ",77,"SCE9N"," 4:50:43 PM ","HC73Q",27,1,"one","one_77",370
"Final offer. ||You have 3:30 to think about it. ",77,"HC73Q"," 4:51:03 PM ","SCE9N",28,0,"one","one_77",390
"It truly is a work of art. So I'm afraid i will not be able to go below 400. ||You can think about it because I won't go below that. ",77,"SCE9N"," 4:51:12 PM ","HC73Q",29,1,"one","one_77",399
"So, no deal? ",77,"HC73Q"," 4:51:21 PM ","SCE9N",30,0,"one","one_77",408
"Not unless you're willing to pay $400. This is a high-quality valuable silver piece of art. ||Unless. ",77,"SCE9N"," 4:51:41 PM ","HC73Q",31,1,"one","one_77",428
"It's a sugar bowl... No sugar bowl is worth more than $50, much less the generous 350 I'm offering.",77,"HC73Q"," 4:51:58 PM ","SCE9N",32,0,"one","one_77",445
"... ||I can do 380. ",77,"SCE9N"," 4:51:59 PM ","HC73Q",33,1,"one","one_77",446
"My final offer stands. ",77,"HC73Q"," 4:52:14 PM ","SCE9N",34,0,"one","one_77",461
"If you're willing to do 380, we can close the deal. ",77,"SCE9N"," 4:52:17 PM ","HC73Q",35,1,"one","one_77",464
"350 or no deal. ",77,"HC73Q"," 4:52:17 PM ","SCE9N",36,0,"one","one_77",464
"No. ",77,"SCE9N"," 4:52:19 PM ","HC73Q",37,1,"one","one_77",466
"Clocks ticking. ",77,"HC73Q"," 4:52:22 PM ","SCE9N",38,0,"one","one_77",469
"Yeah, so is yours!!!! ",77,"SCE9N"," 4:52:27 PM ","HC73Q",39,1,"one","one_77",474
"I don't NEED to buy this. ||But you need to get rid of it. ||Your last buyer didn't want it. ||Good luck finding someone who needs a sugar bowl. ||Worth $20. ",77,"HC73Q"," 4:52:36 PM ","SCE9N",40,0,"one","one_77",483
"Yeah, neither do I need to sell this. I can sell it online for $350 without the time pressure. It's highly valuable and a competitive piece. ",77,"SCE9N"," 4:53:03 PM ","HC73Q",41,1,"one","one_77",510
"And paying more than 350. ",77,"HC73Q"," 4:53:05 PM ","SCE9N",42,0,"one","one_77",512
"$380? ",77,"SCE9N"," 4:53:15 PM ","HC73Q",43,1,"one","one_77",522
"You've got 60 seconds. ||350. ",77,"HC73Q"," 4:53:18 PM ","SCE9N",44,0,"one","one_77",525
"$380 and you can decide. ||$375. ",77,"SCE9N"," 4:53:28 PM ","HC73Q",45,1,"one","one_77",535
"It's been your decision all along. ||Tick tock. ",77,"HC73Q"," 4:53:37 PM ","SCE9N",46,0,"one","one_77",544
"Only $25 more than your proposal and I'm giving up a TON from market value. || Nope, you can decide now or else no deal. ",77,"SCE9N"," 4:53:51 PM ","HC73Q",47,1,"one","one_77",558
"Well, seems like we have no deal. ",77,"HC73Q"," 4:54:05 PM ","SCE9N",48,0,"one","one_77",572
"That's your loss, then. ",77,"SCE9N"," 4:54:10 PM ","HC73Q",49,1,"one","one_77",577
"Amazon sells great sugar bowls. ||360. ",77,"HC73Q"," 4:54:19 PM ","SCE9N",50,0,"one","one_77",586
"Sure. ||Fine. ",77,"SCE9N"," 4:54:28 PM ","HC73Q",51,1,"one","one_77",595
"Hello, I've been looking through your items and I am very impressed with your collection.  I'm particularly interested in the sugar bowl from the tea.  My grandma gave me a tea set when I was young and this holds extreme sentimental value.  I would like to offer you 250 dollars for this tea set if you are willing.  Please let me know.",78,"JD97P","0","Z4S7Y",1,0,"one","one_78",0
"Thank you for your interest. Unfortunately I have to make some sort of profit off the bowl or else a sale is not really of interest to me. I bought the bowl for 350 so I want to sell it for more than that. I think a piece as fine as this is worth somewhere in the 450 dollar range so we can start negotiations there.",78,"Z4S7Y","0","JD97P",2,1,"one","one_78",10
"Hello? ",78,"Z4S7Y"," 4:47:24 PM ","JD97P",3,1,"one","one_78",20
"Hi, thanks for getting back to me. ",78,"JD97P"," 4:47:48 PM ","Z4S7Y",4,0,"one","one_78",44
"No problem, what did you think of my offer? ",78,"Z4S7Y"," 4:48:05 PM ","JD97P",5,1,"one","one_78",61
"I understand the importance of making a profit and was wondering if you'd be willing to compromise at 420 as a price. ",78,"JD97P"," 4:48:52 PM ","Z4S7Y",6,0,"one","one_78",108
"Ok, that sounds better. I am still looking to get 450 out of this piece as the extra 10% profit there would do great things for my margins. At this point, the 30 dollars would not make much of a difference on your end but it would do so much for me. Thanks again, though, for your reasonable negotiation. ||I have buyers online willing to pay 400, so I think it might be worth my while to wait on them instead of taking this deal. ||Just a little bit more would make the difference, though. ",78,"Z4S7Y"," 4:51:59 PM ","JD97P",7,1,"one","one_78",295
"430 is the best I can do. ",78,"JD97P"," 4:54:01 PM ","Z4S7Y",8,0,"one","one_78",417
"440 and we have a deal. ",78,"Z4S7Y"," 4:54:15 PM ","JD97P",9,1,"one","one_78",431
"Ok, sounds great. ",78,"JD97P"," 4:54:45 PM ","Z4S7Y",10,0,"one","one_78",461
"Thanks for negotiating! ",78,"Z4S7Y"," 4:54:55 PM ","JD97P",11,1,"one","one_78",471
"Hi, how are you today? Hope you're staying warm out there! I'm curious about the silver bowl you have for sale. Is there any chance you'd consider $250 for it?  ",79,"UXYDZ","0","U7BAH",1,0,"one","one_79",0
"Hello! Thanks for your offer, it is a very special piece.  In fact, I recently had someone in the store who was going to take it for 650. Unfortunately, they were unable to buy it, but loved it very much. Would you do 550?",79,"U7BAH","0","UXYDZ",2,1,"one","one_79",10
"The sugar bowl would be great to help sweeten some warm coffee or tea on such a cold day. :) ",79,"U7BAH"," 5:15:28 PM ","UXYDZ",3,1,"one","one_79",20
"Haha. :) Wow, I'm not surprised that others have also had their eye on this piece. My grandmother gave it to me, so it's been special throughout my life. ||I don't think I can do 550 though, sadly. ||What would you say to $300? ||P.S.: Great shop by the way. :) ",79,"UXYDZ"," 5:15:55 PM ","U7BAH",4,0,"one","one_79",47
"The going rate online is as much as $800, and the holidays are coming. ||But I do appreciate you complementing my shop. ||What about 490?",79,"U7BAH"," 5:16:54 PM ","UXYDZ",5,1,"one","one_79",106
